question,answer,question_type
Metinde anlatılan kişi hakkında genel olarak ne söylenebilir?,"Metin, her söylediğinin doğru olduğu, bilgi birikimi oldukça geniş ve herkesin anlayabileceği şekilde konuşan, hiçbir zaman yanlış bilgi vermeyen bir peygamberi anlatmaktadır.  Konuşmaları açık, özlü ve herkesin anlayabileceği seviyededir.  Hiç kimse onun söylediklerine karşı çıkmaya cesaret edememiştir.",Summarizing
"Metne göre, anlatılan kişinin konuşma tarzı nasıldı ve bu tarzın etkisi neydi?","Anlatılan kişinin konuşma tarzı açık, özlü, herkesin anlayabileceği şekilde ve her türlü karışıklığı önleyiciydi.  Konuşmaları o kadar etkiliydi ki, muhataplarında tam bir güven ve inanç oluşturuyordu.  Karmaşık konuları bile basit bir dille açıklayabiliyordu.",Analytical
Metnin ana fikri nedir?,"Metin, Hz. Muhammed'in peygamberliğini savunarak, onun getirdiği hükümlerin kapsamı, zaman ve mekân ötesi geçerliliği ve bu hükümlere milyonlarca insanın inancıyla desteklendiğini vurguluyor.  Eleştirenlerin ise ya cahil ya da beyni yıkanmış olduklarını iddia ediyor.",Summarizing
Metinde Bediüzzaman'ın görüşüne nasıl yer veriliyor ve bu görüş metnin ana argümanını nasıl destekliyor?,"Metin, Bediüzzaman'ın yüksek kabiliyetli bir insanın bile sadece birkaç alanda tutarlı söz söyleyebileceği görüşünü aktarıyor. Bu görüş, Hz. Muhammed'in çok çeşitli konularda, her zaman geçerli hükümler vermesinin olağanüstü olduğunu ve beşerî yeteneklerin ötesinde olduğunu vurgulamak için kullanılıyor, böylece peygamberliğinin delili olarak sunuluyor.",Contextual
Hazreti Muhammed'in (aleyhi ekmelü't-tehâyâ) iman ve aksiyonu neden emsalsizdir?,"Hazreti Muhammed'in iman ve aksiyonu, aşkın bir inançla Allah'a bağlılığı, elçisi olduğuna olan tam teslimiyeti, ciddi sorumluluk duygusuyla hareket etmesi ve inancında hiçbir tereddüt yaşamaması nedeniyle emsalsizdir. Bu güvenilirlik, herkesi kendisine güvenmeye ve itimat etmeye yöneltmiştir.",Conceptual
Hazreti Muhammed'in (aleyhi ekmelü't-tehâyâ) yaşadığı dönemdeki toplumun özellikleri nelerdi ve bu özellikler O'nun hayatı ve mesajı üzerinde nasıl bir etkiye sahipti?,"Hazreti Muhammed, makam hırsıyla çırpınan, vahşet içinde yaşayan, yağmacılığı marifet sayan, şöhret peşinde koşan, iyi ve rahat yaşamayı hayatın tek gayesi bilen; mütecaviz, zalim, yobaz, bencil, kıskanç ve fuhuşa açık bir ortamda yetişti.  Bu ortamda zalimlerin zulmü, mazlumların acı çekmesi ve zayıfların ezilmesi hakimdi.  Bu zorlu koşullar, O'nun mesajının önemini ve etkisini daha da vurgular.",Contextual
Metnin ana fikri nedir?,"Metin, beşer tarihinin en mükemmel toplumunu oluşturan bir liderin (O) özelliklerini ve bu toplumun yapısını anlatmaktadır. Bu toplum, farklı felsefe ve kültürlerden gelen bireyleri, ilahi ve dünyevi değerleri birleştiren bir düzen içinde bir araya getirmiştir.",Summarizing
Metinde bahsedilen toplumun en önemli özellikleri nelerdir?,"Metinde bahsedilen toplum, ilahi değerlere yakın, dünya ve ahiret hayatını dengeleyen, farklı kültürleri birleştiren, aşırılıklara karşı dengeleyici,  cismânî ve ruhânî yönleri dengeli bir şekilde ele alan bir yapıya sahiptir.  Adalet, düzen ve denge, bu toplumun temel taşlarıdır.",Listing
Metinde bahsi geçen 'sevâd-ı a'zam' teriminin metin bağlamındaki anlamı nedir?,"Metinde 'sevâd-ı a'zam', geniş halk kitlelerini, toplumun büyük çoğunluğunu ifade ediyor.  Anlatılan esasların bu kitle tarafından anlaşılabilir bir üslupla ifade edildiği belirtiliyor.",Factual
"Metinde anlatılan şahsın, karşı karşıya kaldığı düşmanlık ve zorluklara rağmen gösterdiği direncin sebepleri neler olabilir?","Metin, şahsın gösterdiği direncin sebeplerini doğrudan belirtmese de, güçlü bir inanç, kararlılık, mesajına olan bağlılık ve umudun kaybedilmemesi gibi faktörlerin rol oynamış olabileceği çıkarılabilir.  Ayrıca, mesajının talim ve telkin yoluyla amelî bir toplum oluşturma amacına hizmet etmesi de direncinin devamlılığında etkili olmuş olabilir.",Causal
